"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"925",1,2022,7,14,3682,6,247689123,41,0,156,72,92,77,9,0,8,11
"926",1,2022,9,29,1639,0,176474912,86,14,123,57,50,85,5,0,16,4
"927",1,2022,9,16,452,10,235549288,2,129,132,92,53,62,7,0,63,10
"929",1,2022,10,14,991,0,85559365,36,38,162,74,22,67,0,0,11,46
"930",3,2022,9,22,869,7,146223492,14,12,138,80,82,81,14,0,13,36
"931",3,2022,7,1,648,4,187701588,0,0,161,59,62,60,12,0,5,44
"932",2,2022,11,4,1545,0,154863153,22,7,131,91,23,55,1,0,7,32
"933",3,2022,11,4,1930,0,191333656,24,8,122,75,45,63,6,0,35,12
"934",1,2022,10,21,1948,0,253650850,12,9,80,80,16,28,17,0,12,39
"935",1,2022,10,21,1608,0,223064273,10,3,109,75,11,50,20,0,30,17
"936",2,2022,11,4,1338,0,170413877,9,20,158,84,33,36,2,0,39,59
"937",1,2022,10,21,1936,0,218320587,7,5,126,66,12,35,55,0,9,14
"938",2,2022,11,4,1794,0,141720999,26,9,104,73,25,61,1,0,32,7
"939",1,2022,10,21,1597,0,187339835,6,3,110,48,15,31,80,22,12,4
"940",2,2022,11,4,1652,2,198365537,26,52,130,77,20,70,1,0,16,5
"941",1,2022,10,21,1747,0,186104310,9,6,177,34,39,16,97,0,12,5
"942",1,2022,10,21,1715,0,177503916,4,5,158,48,55,84,43,0,15,12
"943",2,2022,11,4,486,0,71095708,8,1,114,62,25,44,51,33,14,3
"944",2,2022,11,4,1007,0,112436403,6,5,144,93,62,61,0,0,12,20
"945",1,2022,10,28,481,9,203436468,10,100,125,54,22,76,0,0,14,3
"946",1,2022,11,4,1045,0,93367537,8,5,142,85,40,43,4,0,39,32
"947",2,2022,11,4,1060,0,106249219,3,8,120,64,11,53,1,0,25,27
"948",1,2022,10,21,1274,0,181382590,1,6,96,57,55,74,22,0,8,4
"949",1,2022,11,3,953,0,91473363,61,13,144,60,24,39,57,0,8,3
"950",1,2022,10,21,1180,0,121871870,4,0,166,42,7,24,83,1,12,6
"951",2,2022,11,3,573,0,73513683,2,0,92,80,81,67,4,0,8,6
"952",3,2022,10,20,1320,0,133895612,29,26,97,82,67,77,8,0,12,5
"953",1,2022,11,4,782,2,96007391,27,18,90,61,32,67,15,0,11,5
