"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"470",3,1942,1,1,11940,0,395591396,73,79,96,23,19,25,91,0,40,3
"239",5,2023,6,2,197,0,32761689,3,10,101,92,59,51,41,51,26,8
"481",1,2021,12,3,4094,0,356709897,66,96,107,54,41,39,51,0,11,16
"240",1,2022,5,6,4004,33,1047480053,34,65,98,80,23,48,14,0,6,5
"29",1,2023,1,31,2420,19,429829812,52,107,204,52,52,68,46,0,15,4
"140",1,2022,7,20,2335,23,681583126,82,55,132,56,20,55,45,1,32,3
"472",1,1963,11,22,9122,0,242767149,121,58,126,34,35,76,39,0,8,5
"422",3,2022,12,2,1602,0,195516622,12,22,88,49,24,66,19,0,18,29
"9",1,2023,5,15,1096,83,95217315,60,210,130,85,22,62,12,0,28,9
"303",2,2023,3,27,1479,0,80758350,23,0,78,71,80,65,51,0,22,32
"204",3,2022,11,24,995,19,463564958,12,117,136,77,79,73,15,0,27,10
"132",1,2023,1,2,1783,27,430977451,26,124,127,80,74,77,36,0,11,4
"220",3,2022,12,2,2959,16,401036314,41,69,117,72,45,59,14,0,20,21
"24",2,2023,5,31,1313,40,200647221,17,152,133,85,81,67,26,0,12,5
"202",5,2023,5,1,577,14,133753727,22,18,74,53,24,67,11,0,10,28
"65",2,2022,10,6,4637,38,674072710,63,79,98,90,40,59,0,0,10,29
"343",1,2023,1,23,134,4,166570053,4,6,120,56,20,43,89,0,12,4
"254",1,2022,6,10,6330,6,988515741,109,42,170,44,27,32,89,0,14,5
"234",2,2023,5,18,1134,22,57945987,39,14,93,79,58,62,11,0,11,23
"130",2,2023,6,21,871,32,66902503,25,59,128,78,59,65,10,0,26,5
"28",2,2023,6,29,859,40,61245289,35,109,122,81,74,71,14,0,56,4
"376",2,2022,9,29,2460,13,309483971,53,7,94,74,64,73,6,0,10,6
"421",3,2022,1,17,2849,0,78489819,39,45,140,81,6,84,5,23,6,6
"384",1,2022,10,17,761,12,301051721,23,95,105,88,82,80,8,0,11,8
"36",8,2023,6,1,1150,31,123122413,22,33,120,81,63,68,11,0,11,4
"101",1,2012,1,1,8448,23,882831184,160,110,206,43,50,55,50,0,15,10
"17",1,2023,2,24,2942,77,496795686,91,212,120,78,76,59,43,0,34,3
"357",1,2023,1,20,888,22,175399345,11,24,176,72,96,63,25,0,21,7
"439",3,2022,7,17,292,6,366599607,26,98,94,58,44,57,57,0,10,3
