"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"281",3,2023,2,5,1638,10,207033255,0,0,130,69,36,90,1,10,15,4
"52",3,2023,4,6,4277,66,177740666,145,111,128,60,23,91,0,0,12,3
"184",1,2019,10,18,794,10,265882712,38,25,150,34,24,56,4,0,11,3
"337",1,2023,3,3,356,4,88791109,4,20,121,64,67,80,0,0,36,3
"7",2,2023,3,16,3090,50,725980112,34,222,148,67,83,76,48,0,8,3
"166",1,2010,5,25,13801,19,950906471,137,125,81,68,51,60,3,0,19,10
"428",2,2021,7,30,10565,44,972509632,238,122,121,67,26,64,52,0,17,10
"468",1,2022,12,9,827,0,73981293,6,18,119,51,51,66,67,0,9,23
"6",2,2023,6,1,2186,91,183706234,67,213,141,92,66,58,19,0,8,24
"431",1,2022,10,12,574,4,210038833,38,101,102,58,29,94,0,0,9,11
"272",1,2022,4,21,6587,34,885093467,114,104,111,87,53,52,66,1,11,5
"168",1,2015,2,2,18515,35,1410088830,70,82,174,45,10,37,97,25,64,4
"19",2,2023,3,31,2610,40,335222234,43,100,100,86,67,66,14,0,12,16
"318",2,2022,4,1,2598,37,477033549,28,57,92,76,46,79,31,0,7,6
"8",1,2023,7,7,714,43,58149378,25,89,100,67,26,71,37,0,11,4
"115",1,1985,2,17,41751,25,1205951614,101,32,112,64,54,81,36,0,11,6
"71",2,2023,6,23,1004,35,54266102,42,80,130,77,84,89,17,0,43,5
"60",1,2020,7,24,7923,29,812019557,106,112,130,61,53,58,55,0,27,4
"286",2,2023,4,27,875,4,61105704,17,13,120,80,33,70,22,0,9,4
"32",2,2023,6,28,266,34,52294266,20,185,168,56,63,87,39,0,11,5
"364",1,2022,9,8,1769,34,362361576,16,19,105,76,49,56,80,12,10,13
"285",1,2021,11,25,1561,24,357580552,18,78,175,59,15,64,43,90,12,10
"104",1,2004,1,1,12985,61,1241559043,49,98,84,62,24,67,21,0,13,28
"78",2,2022,9,22,8576,42,1230675890,216,108,131,71,24,47,1,0,27,9
"383",1,2023,1,27,2098,16,134255790,88,24,122,64,25,89,0,0,15,9
"412",1,2020,1,10,4057,8,872137015,78,21,186,41,9,61,2,0,12,5
"410",2,2022,9,16,1473,4,222612678,27,64,154,64,61,91,15,0,72,4
"169",2,2011,1,1,36843,21,1235005533,321,91,128,73,60,77,3,0,11,4
"294",1,2023,3,24,373,19,173627354,4,72,120,62,32,76,0,0,39,4
"155",1,2012,12,5,1622,9,1481349984,0,0,144,73,87,70,6,0,28,5
"73",1,2022,7,15,4511,36,751134527,70,58,94,51,14,59,65,18,25,3
"147",2,2022,5,6,6135,38,1133865788,71,113,80,65,27,69,8,0,53,4
"436",1,2022,9,14,713,7,181831132,2,4,85,65,36,47,31,0,12,10
"280",1,2022,10,21,3956,6,502574952,142,23,145,84,88,53,35,0,8,7
"144",1,2002,1,1,21081,43,1687664027,98,76,112,92,67,66,0,0,36,9
"34",1,2022,10,21,9082,56,999748277,242,142,97,64,51,63,12,0,19,5
"417",1,2022,12,9,1484,0,163284000,22,51,114,46,60,28,91,0,21,4
"165",1,2020,3,20,12688,13,1591223784,197,115,118,68,61,82,2,0,50,3
"196",1,1968,7,1,15890,14,1145727611,71,37,116,74,76,70,7,0,13,3
"365",2,2022,12,23,454,4,93587665,6,1,83,53,40,36,73,0,11,33
"5",1,2023,5,18,3133,50,303236322,84,133,144,65,23,80,14,63,11,6
"203",1,2023,5,11,955,29,123124076,37,50,144,75,35,48,84,0,10,12
"463",1,1984,11,25,14169,0,481697415,209,30,115,60,23,57,0,2,27,3
"414",2,2022,9,22,3006,12,304079786,54,32,107,87,20,83,0,4,31,9
"175",1,2023,4,12,356,16,143573775,35,102,166,57,84,94,11,0,37,9
"352",2,2023,2,23,387,11,93438910,11,15,140,86,68,79,39,0,11,29
"2",1,2023,3,23,1474,48,133716286,48,126,92,71,61,74,7,0,10,4
"188",1,2019,8,30,19664,16,2132335812,391,73,120,70,59,75,24,0,9,4
"399",3,2023,1,12,658,6,120972253,33,7,90,68,83,71,3,0,31,8
"205",3,2023,5,15,178,6,64533040,6,71,100,56,53,55,53,0,12,4
"201",4,2023,6,2,551,4,86773632,13,46,146,61,20,48,21,0,12,6
"150",1,2023,1,27,539,21,255932395,7,71,140,74,96,80,18,0,5,5
"152",1,2023,5,26,324,14,95053634,13,110,122,78,70,81,57,0,10,5
"405",1,2023,1,27,359,0,107642809,12,56,125,71,83,89,1,0,17,9
"247",1,2021,10,14,10195,20,1406111294,258,87,142,60,13,37,58,0,13,3
"363",1,2022,5,6,2590,30,671365962,20,64,122,88,43,50,7,0,14,5
"21",3,2023,6,22,332,26,86444842,11,163,140,65,87,74,22,0,42,4
"226",1,2023,5,22,349,69,76767396,8,96,105,80,69,78,28,0,11,14
"215",3,2023,6,2,259,0,37126685,5,17,135,77,28,55,18,0,22,15
"259",2,2023,4,30,385,4,77233241,17,7,117,77,69,58,39,0,26,5
"225",1,2022,11,30,4096,6,335074782,118,48,105,95,62,52,3,0,5,16
"388",1,2022,10,28,3311,0,297328960,129,31,177,25,17,30,90,0,13,3
"371",1,2023,1,27,1283,0,147538971,57,4,107,66,47,40,72,0,11,3
"138",5,2023,5,22,182,8,54225632,3,88,110,76,96,72,32,0,9,4
"473",1,2022,12,9,892,0,65362788,3,17,150,43,42,44,57,0,15,6
"131",1,2023,5,15,451,33,96273746,10,126,130,82,69,83,3,0,27,5
"356",1,2023,3,3,282,0,56533272,6,15,142,49,48,67,10,0,26,3
"218",2,2022,11,30,3794,34,538115192,47,77,123,71,58,70,30,0,32,19
"314",2,2023,3,14,320,6,116334601,5,48,142,70,76,79,26,0,11,7
"331",1,2022,12,9,1911,0,272377463,23,71,145,70,34,55,43,0,16,6
"235",2,2023,4,21,1305,34,115010040,29,26,91,82,47,62,10,0,10,15
"178",1,2013,1,1,23389,29,1267333350,54,70,92,70,81,63,4,0,8,4
"413",1,2015,4,22,3045,6,571386359,43,53,166,40,23,48,5,0,12,3
"339",3,2023,2,23,1190,0,105062254,29,3,137,84,44,67,8,0,11,6
"64",2,2023,3,24,4053,50,357925728,82,121,95,77,53,64,74,0,17,14
"127",3,2011,8,16,6074,52,1953533826,201,44,146,63,88,93,3,0,10,8
"301",1,2023,3,17,1235,9,117206995,20,8,87,65,71,56,4,0,15,20
"402",1,2020,3,20,6170,7,1301799902,82,1,92,47,25,43,62,0,32,3
"427",1,2022,8,11,688,0,199386237,14,1,75,80,46,62,3,6,11,46
"250",1,2023,2,14,845,2,145458418,12,57,108,67,55,67,60,0,80,5
"338",1,2023,3,3,604,6,125917280,22,101,140,66,43,76,49,0,12,3
"460",1,1952,1,1,7930,0,395591396,108,120,140,67,81,36,64,0,15,3
"459",2,2022,12,8,1042,0,94005786,7,29,150,73,71,69,53,0,32,9
"292",2,2022,12,22,2651,30,304118600,21,55,94,89,61,66,17,0,36,16
"42",2,2018,10,9,24094,78,2808096550,372,117,90,76,91,50,54,0,7,5
"33",3,2022,12,2,6036,88,843957510,113,149,98,71,17,61,36,0,8,5
"267",2,2023,3,4,432,12,162887075,8,14,96,93,47,47,33,0,10,36
"261",1,2023,4,7,1730,3,117747907,46,5,98,44,36,41,50,0,38,5
"93",2,2023,3,17,1962,38,250305248,28,89,150,68,14,76,4,0,10,4
"271",1,2019,8,23,1282,6,185240616,26,6,96,72,40,47,71,0,13,4
"70",1,2023,7,7,148,24,39578178,32,93,82,51,22,53,1,0,15,3
"434",2,2020,3,27,15894,8,1802514301,198,13,103,70,92,83,1,0,7,6
"381",1,2023,1,27,1838,0,124988687,105,41,170,56,56,63,13,0,19,27
"10",2,2023,3,17,2953,44,553634067,49,110,170,81,56,48,21,0,8,33
"269",1,2022,4,22,816,4,190490915,21,4,121,94,71,61,12,0,53,42
"291",1,2022,9,16,1524,17,482175240,53,120,110,82,67,69,0,0,18,4
"397",3,2022,11,20,889,20,323358833,11,78,115,71,34,88,16,0,44,4
"102",3,2022,12,2,2110,58,286400165,17,119,88,68,17,71,15,0,11,5
"91",1,2023,3,24,1446,12,157058870,57,97,98,71,67,60,19,0,12,3
"423",1,2021,6,4,9644,28,1260594497,120,86,180,64,44,65,28,0,14,12
"229",2,2023,6,2,277,1,39666245,1,20,81,59,26,60,46,1,25,13
"20",1,2023,3,24,596,68,363369738,8,104,120,63,36,73,0,0,36,4
"432",1,2022,4,8,2499,0,227918678,70,0,82,70,31,34,60,1,11,4
"375",1,2020,5,20,685,14,403097450,24,94,158,60,52,76,17,0,19,5
"340",1,2023,1,31,579,0,95623148,11,54,104,56,72,85,0,0,15,3
"333",2,2023,2,24,1529,0,149778242,32,18,95,64,30,77,46,0,38,6
"265",1,2023,4,10,366,15,123132751,16,102,122,68,38,88,1,0,8,5
"173",1,2013,1,1,33783,26,1788326445,133,92,85,55,42,53,17,0,22,3
"457",1,2022,12,9,1127,0,110849052,16,63,65,71,55,26,85,0,13,8
"464",2,2022,12,9,1634,0,110073250,16,20,125,62,59,43,84,3,11,5
"123",1,2022,7,15,2346,27,342897938,69,12,139,74,68,68,3,0,26,4
"249",2,2023,6,2,214,0,24975653,3,3,143,83,25,69,4,0,23,12
"146",2,2016,11,24,1275,32,611700552,13,8,90,59,52,48,38,5,10,11
"211",2,2023,5,13,262,5,89933133,8,60,129,70,42,43,78,0,11,3
"298",2,2002,5,26,7615,14,655466831,18,51,130,80,64,76,2,0,20,6
"347",2,2022,12,15,1701,15,221409663,30,15,113,79,66,74,8,0,11,5
"479",2,2022,11,4,313,2,136689549,10,6,100,70,92,59,3,0,10,3
"456",1,2022,12,9,1007,0,98709329,5,31,152,65,35,65,44,18,21,7
"3",1,2023,6,30,1397,113,140003974,94,207,138,51,32,53,17,0,31,6
"217",2,2022,10,12,5129,25,532336353,116,84,96,54,25,74,14,0,9,11
"39",1,2014,1,1,7830,42,786181836,94,111,95,60,48,79,0,0,12,4
"179",1,2022,3,19,3202,18,726307468,148,80,170,56,53,64,11,0,45,6
"222",1,2022,12,2,2321,36,345031710,29,65,96,74,61,83,11,0,35,6
"400",1,2022,7,21,3009,2,338564981,68,89,141,41,9,25,84,1,14,4
"22",1,2023,7,7,516,38,52135248,73,119,123,69,82,76,6,0,6,3
"448",1,1963,10,14,8879,0,663832097,182,107,202,24,76,60,77,0,12,4
"189",1,2010,1,1,21106,13,1641426668,82,0,109,63,46,85,1,0,9,5
"163",3,2016,4,4,43257,24,2713922350,433,107,104,77,36,63,1,0,36,5
"416",1,2022,8,5,2163,15,284785823,72,97,82,40,39,64,21,0,7,7
"326",1,2015,5,27,25744,4,1947371785,122,94,136,36,12,57,9,0,14,8
"191",2,2022,12,16,849,22,367316268,27,129,157,54,75,60,30,0,7,5
"232",1,2022,7,29,7842,10,595900742,215,88,115,78,64,69,4,0,7,14
"373",1,2022,7,15,2332,2,723894473,0,0,109,84,72,74,10,0,34,7
"85",2,2021,7,9,17050,36,2665343922,492,99,170,59,48,76,4,0,10,5
